Location,Date,Country,Summary,Additional Details,Summaries,Latitude,Longitude
Buenos Aires,1992-1994-1996,Argentina,Bleeding Host,"Multiple occurrences of a bleeding Eucharistic host, scientifically investigated",,-34.60169181,-58.44222936
Fiecht,1310,Austria,Wine turns into blood,"Consecrated wine miraculously transformed into blood, overflows chalice","During Mass celebrated by doubting, consecrated Blood began to boil  and overflow out of chalice",47.30729353,11.00127647
Seefeld,1384,Austria,Earthquake at the same time as bleeding host,Simultaneous seismic activity occurred during the reported Eucharistic miracle,"Holy Thursday Mass: a nobleman requested to receive the large Host for Communion. The pavement began to tremble and broke open. The priest retrieved the Host from the man’s mouth and the trembling ceased, but live Blood began seeping from the Host",47.33655219,11.17410943
Weiten-Raxendorf,1411,Austria,Glowing Host,The consecrated host emitted an unexplained supernatural luminescence during Mass,Stolen consecrated Host fell unnoticed to the ground. The radiant Host was found divided in 2 pieces joined by a thread of bleeding flesh,48.3084676,15.2437384
Bois-Seigneur-Isaac,1405,Belgium,Bleeding Host,"During Mass, the host reportedly began to bleed, creating visible blood stains on the corporal","A particle of large consecrated Host is left in folded corporal. It clung to it and began to bleed. After 4 days, the bleeding stops after staining almost all the corporal.",50.6532745,4.331993885
Bruges,1203,Belgium,Relic of Jesus' blood,A preserved relic believed to contain actual blood of Jesus Christ,Most precious Blood: part of a group of relics of the Passion preserved by a Museum of Constantinople,51.20215177,3.231679629
Brussels,1370,Belgium,Bleeding Host; Stolen Host,A stolen consecrated host miraculously began to bleed,Stolen consecrated Hosts began to bleed when stabbed,50.83001733,4.346784027
Herentals,1412,Belgium,Stolen Hosts intact after eight days in form of cross,Consecrated hosts stolen from the church remained miraculously preserved in a perfect cross formation,Five stolen Hosts are found near a rabbit burrow. The Hosts were surrounded by bright light and arrayed in form of a cross,51.17571203,4.837331421
Herkenrode-Hasselt,1317,Belgium,Bleeding Host,"The host transformed into what appeared to be living tissue, with visible blood emerging","Desecrated Host got stained with Blood and the face of Christ appeared, crowned with thorns",50.94995843,5.268841018
Liège,1374,Belgium,Lead to Feast of Corpus Christi,Significantly influenced the establishment of the Feast of Corpus Christi,,50.64563847,5.577229291
Middleburg-Lovanio,1374,Belgium,Bleeding Host,Another instance of a host transforming and showing visible signs of bleeding,A man that hadn't confessed in many years took Communion - the Host changed in bleeding flesh on his tongue,50.63292571,4.668226843
