Pope Number,Papal Name,Birthday,Birthday2,Conclave Start,Elected Date,Elected Date2,Age at Election,Installed Date,Age at Installation,End of Reign Date,End of Reign Age,Elected Length,Installed Length,Actual Name,Length,Century,Birth Place,Country,Latitude,Longitude
1,Peter,1 BC,1 BC,,39,39 AD,38,,,64,63,25,,St. Peter , ( 39 Elected - 64 Died),1, Bethsaida                       , Israel            ,31.046051,34.851612
2,Linus,10 AD,10 AD,,68,68 AD,58,,,79,69,11,,St. Linus , ( 68 Elected - 79 Died),1, Rome                            , Italy             ,41.8967068,12.4822025
3,Cletus,25 AD,25 AD,,80,80 AD,55,,,92,67,12,,St. Cletus (Anacletus) , ( 80 Elected - 92 Died),1,Rome,Italy,41.8967068,12.4822025
4,Clement I,35 AD,35 AD,,92,92 AD,57,,,99,64,7,,St. Clement , ( 92 Elected - 99 Died),1, Rome                            , Italy             ,41.8967068,12.4822025
5,Evaristus,unknown,unknown,,99,99 AD,,,,108,,9,,St. Evaristus , ( 99 Elected - 108 Died),1, Bethlehem                       , Israel            ,31.7053821,35.2024425
6,Alexander I,unknown,unknown,,108,108 AD,,,,116,,8,,St. Alexander , ( 108 Elected - 116 Died),1, Rome                            , Italy             ,41.8967068,12.4822025
7,Sixtus I,unknown,unknown,,117,117 AD,,,,126,,9,,St. Sixtus , ( 117 Elected - 126 Died),2, Rome                            , Italy             ,41.8967068,12.4822025
8,Telesphorus,unknown,unknown,,127,127 AD,,,,137,,10,,St. Telesphorus , ( 127 Elected - 137 Died),2,"Terranova da Sibari, Calabria",Italy,39.6574406,16.3385751
9,Hyginus,unknown,unknown,,138,138 AD,,,,142,,4,,St. Hyginus , ( 138 Elected - 142 Died),2,"Athens, Greece", Greece            ,37.9838096,23.7275388
10,Pius I,unknown,unknown,,142,142 AD,,,,157,,15,,St. Pius , ( 142 Elected - 157 Died),2," Aquileia, Friuli                ", Italy             ,45.767329,13.3695598
11,Anicletus I,unknown,unknown,,150,150 AD,,,,153,,3,,St. Anicetus , ( 150 Elected - 153 Died),2, Emesa                           , Syria             ,34.7325256,36.713452
12,Soter,unknown,unknown,,162,162 AD,,,,170,,8,,St. Soter , ( 162 Elected - 170 Died),2," Fondi, Lazio                    ", Italy             ,41.3557514,13.4292739
13,Eleutherius,unknown,unknown,,171,171 AD,,,,185,,14,,St. Eleutherius , ( 171 Elected - 185 Died),2, Nicopolis                       , Greece            ,39.0263649,20.7336358
14,Victor I,unknown,unknown,,186,186 AD,,,,197,,11,,St. Victor , ( 186 Elected - 197 Died),2, Africa Proconsularis            , Tunisia           ,33.886917,9.537499
15,Zephyrinus,unknown,unknown,,198,198 AD,,,,217,,19,,St. Zephyrinus , ( 198 Elected - 217 Died),2, Rome                            , Italy             ,41.8967068,12.4822025
16,Callistus,unknown,unknown,,218,218 AD,,,,222,,4,,St. Callixtus , ( 218 Elected - 222 Died),2, Rome                            , Italy             ,41.8967068,12.4822025
