Saint_ID,Name,Country,Born,Born2,Born Location,Died,Died2,Died Location,Age,Feast,Beatified,Beatified Location,Canonised,Canonised_Location,Bio,Is_Married,Is_Layperson,Is_Martyr,Latitude,Longitude
260,Blessed Eduardo Francisco Pironio,Argentina,1920.12.03 ,1920.12.03 ,"Nueve de Julio, Argentina",1998.02.05 ,1998.02.05 ,Vatican City State ,77,,2023.12.16 ,"Luján, Argentina",,,Priest of Mercedes (Argentina) (1943.12.05 – 1964.03.24),FALSE,FALSE,FALSE,-35.53679925,-60.92494275
325,Blessed John Paul I,Italy,1912.10.17 ,1912.10.17 ,"Canale d’Agordo, Italy",1978.09.28 ,1978.09.28 ,Vatican City State ,65,,2022.09.04,,,,Priest of Belluno (Italy) (1935.07.07 – 1958.12.15),FALSE,FALSE,FALSE,43.33785,12.548758
376,Saint John Paul II,Poland,1920.05.18 ,1920.05.18 ,"Wadowice, Poland",2005.04.02 ,2005.04.02 ,"Roma, Italy ",84,10.22,2011.05.01,,2014.04.27,,Priest of Kraków (Poland) (1946.11.01 – 1958.07.04),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
428,Saint Paul VI,Italy,1897.09.26 ,1897.09.26 ,"Concesio, Italy",1978.08.06 ,1978.08.06 ,"Castel Gandolfo, Italy ",80,5.29,2014.10.19,,2018.10.14,,Priest of Brescia (Italy) (1920.05.29 – 1954.11.01),FALSE,FALSE,FALSE,45.605184,10.216967
453,Saint John XXIII,Italy,1881.11.25 ,1881.11.25 ,"Sotto il Monte Giovanni XXIII, Italy",1963.06.03 ,1963.06.03 ,Vatican City State ,81,10.11,2000.09.03,,2014.04.27,,Priest of Bergamo (Italy) (1904.08.10 – 1925.03.03),FALSE,FALSE,FALSE,45.7057753,9.4996718
460,Blessed Alojzije Stepinac,Croatia,1898.05.08 ,1898.05.08 ,"Krašić, Croatia",1960.02.10,1960.02.10,"Krašić, Croatia ",61,2.1,1998.10.03 ,"Zagreb, Croatia",,,Titular Archbishop of Nicopsis (1934.05.28 – 1937.12.07),FALSE,FALSE,FALSE,45.6540864,15.5174579
466,Blessed Stefan Wyszyński,Poland,1901.08.03 ,1901.08.03 ,"Zuzela, Poland",1981.05.28 ,1981.05.28 ,"Warszawa, Poland ",79,,2021.09.12 ,"Warszawa, Poland",,,Bishop of Lublin (Poland) (1946.03.04 – 1948.11.12),FALSE,FALSE,FALSE,52.6959571,22.240244
501,Blessed Clemens August von Galen,Germany,1878.03.16 ,1878.03.16 ,"Dinklage, Germany",1946.03.22 ,1946.03.22 ,"Münster, Germany ",68,,2005.10.09,,,,Bishop of Münster (Germany) (1933.09.05 – 1946.03.22),FALSE,FALSE,FALSE,52.6626633,8.1212801
543,"Blessed Alfredo Ildefonso Schuster, O.S.B. Cas.",Italy,1880.01.18 ,1880.01.18 ,"Roma, Italy",1954.08.30 ,1954.08.30 ,"Venegono Inferiore, Italy ",74,8.3,1996.05.12,,,,Abbot Ordinary of San Paolo fuori le Mura (Italy) (1918.04.06 – 1929.06.26),FALSE,FALSE,FALSE,41.8933203,12.4829321
649,Blessed Marcelo Spínola y Maestre,Spain,1835.01.14 ,1835.01.14 ,"San Fernando, Spain",1906.01.19 ,1906.01.19 ,"Sevilla, Spain ",71,1.19,1987.03.29,,,,Titular Bishop of Milos (1880.12.16 – 1884.11.10),FALSE,FALSE,FALSE,36.4646672,-6.1983492
